1.000000000000000056e-01,2.100000000000000089e+00,5.999999999999999778e-01,2.999999999999999889e-01,2.999999999999999889e-01,5.000000000000000000e-01,4.000000000000000222e-01,5.200000000000000178e+00,2.999999999999999889e-01,1.000000000000000056e-01,0.000000000000000000e+00,2.100000000000000089e+00
1.000000000000000056e-01,2.000000000000000000e+00,5.000000000000000000e-01,2.999999999999999889e-01,2.999999999999999889e-01,6.999999999999999556e-01,4.000000000000000222e-01,4.700000000000000178e+00,2.999999999999999889e-01,1.000000000000000056e-01,0.000000000000000000e+00,2.100000000000000089e+00
1.000000000000000056e-01,2.000000000000000000e+00,5.000000000000000000e-01,2.999999999999999889e-01,2.999999999999999889e-01,4.000000000000000222e-01,4.000000000000000222e-01,4.400000000000000355e+00,2.000000000000000111e-01,1.000000000000000056e-01,0.000000000000000000e+00,2.100000000000000089e+00
2.000000000000000111e-01,2.000000000000000000e+00,4.000000000000000222e-01,2.000000000000000111e-01,2.999999999999999889e-01,2.999999999999999889e-01,2.999999999999999889e-01,4.400000000000000355e+00,2.000000000000000111e-01,1.000000000000000056e-01,0.000000000000000000e+00,1.600000000000000089e+00
2.000000000000000111e-01,2.000000000000000000e+00,4.000000000000000222e-01,2.000000000000000111e-01,2.999999999999999889e-01,2.000000000000000111e-01,2.999999999999999889e-01,4.400000000000000355e+00,2.000000000000000111e-01,1.000000000000000056e-01,0.000000000000000000e+00,1.399999999999999911e+00
2.000000000000000111e-01,2.000000000000000000e+00,4.000000000000000222e-01,2.999999999999999889e-01,2.999999999999999889e-01,1.000000000000000056e-01,2.000000000000000111e-01,4.400000000000000355e+00,2.000000000000000111e-01,1.000000000000000056e-01,0.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000111e-01,2.000000000000000000e+00,4.000000000000000222e-01,2.999999999999999889e-01,2.999999999999999889e-01,1.000000000000000056e-01,2.000000000000000111e-01,3.899999999999999911e+00,2.000000000000000111e-01,1.000000000000000056e-01,1.000000000000000056e-01,6.999999999999999556e-01
2.000000000000000111e-01,1.800000000000000044e+00,4.000000000000000222e-01,2.999999999999999889e-01,2.999999999999999889e-01,0.000000000000000000e+00,2.000000000000000111e-01,3.600000000000000089e+00,2.000000000000000111e-01,1.000000000000000056e-01,0.000000000000000000e+00,5.000000000000000000e-01
2.000000000000000111e-01,1.800000000000000044e+00,4.000000000000000222e-01,2.999999999999999889e-01,2.999999999999999889e-01,1.000000000000000056e-01,2.999999999999999889e-01,3.299999999999999822e+00,1.000000000000000056e-01,1.000000000000000056e-01,0.000000000000000000e+00,4.000000000000000222e-01
2.000000000000000111e-01,1.800000000000000044e+00,4.000000000000000222e-01,2.000000000000000111e-01,2.999999999999999889e-01,2.000000000000000111e-01,2.999999999999999889e-01,3.299999999999999822e+00,2.000000000000000111e-01,1.000000000000000056e-01,0.000000000000000000e+00,2.999999999999999889e-01
2.000000000000000111e-01,1.399999999999999911e+00,4.000000000000000222e-01,2.000000000000000111e-01,2.999999999999999889e-01,4.000000000000000222e-01,2.999999999999999889e-01,3.100000000000000089e+00,2.000000000000000111e-01,1.000000000000000056e-01,0.000000000000000000e+00,2.999999999999999889e-01
2.000000000000000111e-01,1.199999999999999956e+00,4.000000000000000222e-01,2.000000000000000111e-01,2.999999999999999889e-01,5.999999999999999778e-01,2.999999999999999889e-01,2.899999999999999911e+00,2.000000000000000111e-01,1.000000000000000056e-01,0.000000000000000000e+00,2.999999999999999889e-01
2.000000000000000111e-01,1.300000000000000044e+00,4.000000000000000222e-01,2.000000000000000111e-01,2.999999999999999889e-01,5.999999999999999778e-01,2.999999999999999889e-01,2.899999999999999911e+00,2.000000000000000111e-01,1.000000000000000056e-01,0.000000000000000000e+00,4.000000000000000222e-01
2.000000000000000111e-01,1.399999999999999911e+00,4.000000000000000222e-01,2.000000000000000111e-01,2.999999999999999889e-01,5.999999999999999778e-01,2.000000000000000111e-01,2.700000000000000178e+00,2.000000000000000111e-01,1.000000000000000056e-01,0.000000000000000000e+00,2.999999999999999889e-01
2.000000000000000111e-01,1.899999999999999911e+00,4.000000000000000222e-01,2.000000000000000111e-01,2.000000000000000111e-01,6.999999999999999556e-01,2.000000000000000111e-01,2.700000000000000178e+00,2.000000000000000111e-01,1.000000000000000056e-01,0.000000000000000000e+00,2.999999999999999889e-01
2.000000000000000111e-01,1.500000000000000000e+00,5.000000000000000000e-01,2.000000000000000111e-01,2.000000000000000111e-01,1.100000000000000089e+00,2.000000000000000111e-01,2.700000000000000178e+00,2.000000000000000111e-01,1.000000000000000056e-01,0.000000000000000000e+00,2.999999999999999889e-01
2.000000000000000111e-01,1.399999999999999911e+00,5.000000000000000000e-01,2.000000000000000111e-01,2.000000000000000111e-01,1.000000000000000000e+00,2.000000000000000111e-01,2.700000000000000178e+00,2.000000000000000111e-01,1.000000000000000056e-01,0.000000000000000000e+00,2.999999999999999889e-01
2.000000000000000111e-01,1.399999999999999911e+00,5.000000000000000000e-01,2.000000000000000111e-01,2.000000000000000111e-01,6.999999999999999556e-01,2.000000000000000111e-01,2.600000000000000089e+00,2.000000000000000111e-01,1.000000000000000056e-01,0.000000000000000000e+00,4.000000000000000222e-01
2.000000000000000111e-01,1.399999999999999911e+00,5.999999999999999778e-01,2.000000000000000111e-01,2.000000000000000111e-01,5.999999999999999778e-01,2.000000000000000111e-01,2.600000000000000089e+00,2.000000000000000111e-01,1.000000000000000056e-01,0.000000000000000000e+00,4.000000000000000222e-01
2.000000000000000111e-01,1.399999999999999911e+00,5.000000000000000000e-01,2.000000000000000111e-01,2.000000000000000111e-01,5.000000000000000000e-01,2.000000000000000111e-01,2.399999999999999911e+00,1.000000000000000056e-01,1.000000000000000056e-01,0.000000000000000000e+00,2.999999999999999889e-01
2.000000000000000111e-01,1.399999999999999911e+00,5.000000000000000000e-01,2.000000000000000111e-01,2.000000000000000111e-01,5.000000000000000000e-01,2.000000000000000111e-01,2.399999999999999911e+00,1.000000000000000056e-01,1.000000000000000056e-01,0.000000000000000000e+00,4.000000000000000222e-01
2.000000000000000111e-01,1.300000000000000044e+00,5.000000000000000000e-01,2.000000000000000111e-01,2.000000000000000111e-01,2.000000000000000111e-01,2.000000000000000111e-01,2.399999999999999911e+00,1.000000000000000056e-01,1.000000000000000056e-01,0.000000000000000000e+00,4.000000000000000222e-01
2.000000000000000111e-01,1.000000000000000000e+00,5.000000000000000000e-01,2.000000000000000111e-01,2.000000000000000111e-01,1.000000000000000056e-01,2.000000000000000111e-01,2.200000000000000178e+00,1.000000000000000056e-01,1.000000000000000056e-01,0.000000000000000000e+00,4.000000000000000222e-01
2.000000000000000111e-01,1.300000000000000044e+00,5.000000000000000000e-01,2.999999999999999889e-01,2.000000000000000111e-01,1.000000000000000056e-01,2.000000000000000111e-01,2.100000000000000089e+00,1.000000000000000056e-01,1.000000000000000056e-01,0.000000000000000000e+00,2.999999999999999889e-01
2.000000000000000111e-01,1.500000000000000000e+00,5.000000000000000000e-01,2.999999999999999889e-01,2.000000000000000111e-01,1.000000000000000056e-01,2.000000000000000111e-01,2.100000000000000089e+00,1.000000000000000056e-01,1.000000000000000056e-01,0.000000000000000000e+00,2.999999999999999889e-01
2.000000000000000111e-01,1.500000000000000000e+00,5.000000000000000000e-01,2.999999999999999889e-01,2.000000000000000111e-01,1.000000000000000056e-01,2.000000000000000111e-01,2.100000000000000089e+00,1.000000000000000056e-01,1.000000000000000056e-01,0.000000000000000000e+00,2.000000000000000111e-01
2.000000000000000111e-01,1.500000000000000000e+00,5.000000000000000000e-01,2.999999999999999889e-01,2.000000000000000111e-01,1.000000000000000056e-01,2.000000000000000111e-01,2.100000000000000089e+00,1.000000000000000056e-01,1.000000000000000056e-01,0.000000000000000000e+00,2.000000000000000111e-01
2.000000000000000111e-01,1.100000000000000089e+00,4.000000000000000222e-01,2.999999999999999889e-01,2.000000000000000111e-01,1.000000000000000056e-01,2.000000000000000111e-01,2.100000000000000089e+00,1.000000000000000056e-01,1.000000000000000056e-01,0.000000000000000000e+00,2.000000000000000111e-01
2.000000000000000111e-01,1.399999999999999911e+00,4.000000000000000222e-01,2.999999999999999889e-01,2.000000000000000111e-01,2.000000000000000111e-01,2.000000000000000111e-01,2.100000000000000089e+00,1.000000000000000056e-01,1.000000000000000056e-01,0.000000000000000000e+00,1.000000000000000056e-01
2.000000000000000111e-01,1.500000000000000000e+00,4.000000000000000222e-01,2.999999999999999889e-01,2.000000000000000111e-01,1.000000000000000056e-01,2.000000000000000111e-01,2.200000000000000178e+00,1.000000000000000056e-01,1.000000000000000056e-01,0.000000000000000000e+00,1.000000000000000056e-01
2.000000000000000111e-01,1.100000000000000089e+00,4.000000000000000222e-01,2.000000000000000111e-01,2.000000000000000111e-01,4.000000000000000222e-01,2.000000000000000111e-01,2.399999999999999911e+00,1.000000000000000056e-01,1.000000000000000056e-01,0.000000000000000000e+00,1.000000000000000056e-01
2.000000000000000111e-01,1.199999999999999956e+00,4.000000000000000222e-01,2.999999999999999889e-01,2.000000000000000111e-01,5.999999999999999778e-01,2.000000000000000111e-01,2.399999999999999911e+00,2.000000000000000111e-01,1.000000000000000056e-01,0.000000000000000000e+00,1.000000000000000056e-01
2.000000000000000111e-01,1.100000000000000089e+00,4.000000000000000222e-01,2.999999999999999889e-01,2.000000000000000111e-01,8.000000000000000444e-01,2.000000000000000111e-01,2.100000000000000089e+00,2.999999999999999889e-01,1.000000000000000056e-01,0.000000000000000000e+00,1.000000000000000056e-01
2.000000000000000111e-01,1.199999999999999956e+00,4.000000000000000222e-01,2.999999999999999889e-01,2.000000000000000111e-01,1.000000000000000000e+00,2.000000000000000111e-01,2.100000000000000089e+00,2.999999999999999889e-01,1.000000000000000056e-01,0.000000000000000000e+00,1.000000000000000056e-01
2.000000000000000111e-01,8.000000000000000444e-01,4.000000000000000222e-01,2.999999999999999889e-01,2.000000000000000111e-01,1.000000000000000000e+00,2.000000000000000111e-01,1.899999999999999911e+00,2.999999999999999889e-01,1.000000000000000056e-01,0.000000000000000000e+00,1.000000000000000056e-01
2.000000000000000111e-01,6.999999999999999556e-01,4.000000000000000222e-01,2.000000000000000111e-01,2.000000000000000111e-01,1.100000000000000089e+00,2.000000000000000111e-01,1.899999999999999911e+00,2.999999999999999889e-01,1.000000000000000056e-01,0.000000000000000000e+00,1.000000000000000056e-01
2.000000000000000111e-01,1.000000000000000000e+00,4.000000000000000222e-01,2.000000000000000111e-01,2.000000000000000111e-01,1.100000000000000089e+00,2.000000000000000111e-01,2.200000000000000178e+00,4.000000000000000222e-01,1.000000000000000056e-01,0.000000000000000000e+00,1.000000000000000056e-01
2.000000000000000111e-01,1.000000000000000000e+00,4.000000000000000222e-01,2.000000000000000111e-01,2.000000000000000111e-01,1.000000000000000000e+00,2.000000000000000111e-01,2.399999999999999911e+00,4.000000000000000222e-01,1.000000000000000056e-01,0.000000000000000000e+00,1.000000000000000056e-01
2.000000000000000111e-01,1.000000000000000000e+00,4.000000000000000222e-01,2.999999999999999889e-01,2.000000000000000111e-01,6.999999999999999556e-01,2.000000000000000111e-01,2.399999999999999911e+00,4.000000000000000222e-01,1.000000000000000056e-01,0.000000000000000000e+00,1.000000000000000056e-01
1.000000000000000056e-01,1.000000000000000000e+00,4.000000000000000222e-01,2.999999999999999889e-01,2.000000000000000111e-01,6.999999999999999556e-01,2.000000000000000111e-01,2.100000000000000089e+00,4.000000000000000222e-01,1.000000000000000056e-01,0.000000000000000000e+00,1.000000000000000056e-01
1.000000000000000056e-01,1.000000000000000000e+00,4.000000000000000222e-01,2.999999999999999889e-01,2.000000000000000111e-01,8.000000000000000444e-01,2.000000000000000111e-01,2.100000000000000089e+00,4.000000000000000222e-01,1.000000000000000056e-01,0.000000000000000000e+00,1.000000000000000056e-01
2.000000000000000111e-01,1.000000000000000000e+00,4.000000000000000222e-01,2.000000000000000111e-01,2.000000000000000111e-01,1.000000000000000000e+00,2.000000000000000111e-01,2.100000000000000089e+00,4.000000000000000222e-01,1.000000000000000056e-01,0.000000000000000000e+00,1.000000000000000056e-01
2.000000000000000111e-01,1.100000000000000089e+00,4.000000000000000222e-01,2.000000000000000111e-01,2.000000000000000111e-01,1.100000000000000089e+00,2.000000000000000111e-01,2.200000000000000178e+00,4.000000000000000222e-01,1.000000000000000056e-01,0.000000000000000000e+00,1.000000000000000056e-01
2.000000000000000111e-01,1.100000000000000089e+00,4.000000000000000222e-01,2.000000000000000111e-01,2.000000000000000111e-01,1.300000000000000044e+00,2.000000000000000111e-01,2.100000000000000089e+00,4.000000000000000222e-01,1.000000000000000056e-01,0.000000000000000000e+00,2.000000000000000111e-01
2.000000000000000111e-01,1.000000000000000000e+00,4.000000000000000222e-01,2.000000000000000111e-01,2.000000000000000111e-01,1.500000000000000000e+00,2.000000000000000111e-01,2.200000000000000178e+00,4.000000000000000222e-01,1.000000000000000056e-01,0.000000000000000000e+00,2.000000000000000111e-01
2.000000000000000111e-01,1.000000000000000000e+00,4.000000000000000222e-01,2.000000000000000111e-01,2.000000000000000111e-01,1.800000000000000044e+00,2.000000000000000111e-01,2.600000000000000089e+00,2.999999999999999889e-01,1.000000000000000056e-01,0.000000000000000000e+00,2.000000000000000111e-01
2.000000000000000111e-01,8.000000000000000444e-01,4.000000000000000222e-01,2.000000000000000111e-01,2.000000000000000111e-01,1.800000000000000044e+00,1.000000000000000056e-01,2.399999999999999911e+00,2.999999999999999889e-01,1.000000000000000056e-01,0.000000000000000000e+00,2.000000000000000111e-01
2.000000000000000111e-01,5.999999999999999778e-01,4.000000000000000222e-01,2.000000000000000111e-01,2.000000000000000111e-01,1.600000000000000089e+00,2.000000000000000111e-01,2.200000000000000178e+00,2.999999999999999889e-01,1.000000000000000056e-01,0.000000000000000000e+00,2.000000000000000111e-01
2.000000000000000111e-01,6.999999999999999556e-01,5.000000000000000000e-01,2.000000000000000111e-01,2.000000000000000111e-01,1.500000000000000000e+00,2.000000000000000111e-01,2.200000000000000178e+00,2.999999999999999889e-01,1.000000000000000056e-01,0.000000000000000000e+00,1.000000000000000056e-01
2.000000000000000111e-01,6.999999999999999556e-01,5.000000000000000000e-01,2.000000000000000111e-01,2.000000000000000111e-01,1.300000000000000044e+00,2.000000000000000111e-01,2.200000000000000178e+00,2.999999999999999889e-01,1.000000000000000056e-01,0.000000000000000000e+00,2.000000000000000111e-01
2.000000000000000111e-01,1.000000000000000000e+00,5.000000000000000000e-01,2.000000000000000111e-01,2.000000000000000111e-01,1.100000000000000089e+00,2.000000000000000111e-01,2.100000000000000089e+00,2.999999999999999889e-01,1.000000000000000056e-01,0.000000000000000000e+00,2.000000000000000111e-01
2.000000000000000111e-01,1.100000000000000089e+00,4.000000000000000222e-01,2.000000000000000111e-01,2.000000000000000111e-01,1.100000000000000089e+00,1.000000000000000056e-01,2.399999999999999911e+00,2.999999999999999889e-01,1.000000000000000056e-01,0.000000000000000000e+00,2.000000000000000111e-01
2.000000000000000111e-01,1.000000000000000000e+00,4.000000000000000222e-01,2.000000000000000111e-01,2.000000000000000111e-01,1.100000000000000089e+00,1.000000000000000056e-01,2.700000000000000178e+00,2.999999999999999889e-01,1.000000000000000056e-01,0.000000000000000000e+00,2.000000000000000111e-01
2.000000000000000111e-01,1.100000000000000089e+00,4.000000000000000222e-01,2.000000000000000111e-01,2.000000000000000111e-01,1.100000000000000089e+00,2.000000000000000111e-01,2.600000000000000089e+00,2.999999999999999889e-01,1.000000000000000056e-01,0.000000000000000000e+00,2.000000000000000111e-01
1.000000000000000056e-01,1.100000000000000089e+00,4.000000000000000222e-01,2.000000000000000111e-01,2.000000000000000111e-01,1.100000000000000089e+00,2.000000000000000111e-01,2.399999999999999911e+00,2.999999999999999889e-01,1.000000000000000056e-01,0.000000000000000000e+00,2.000000000000000111e-01
2.000000000000000111e-01,1.300000000000000044e+00,4.000000000000000222e-01,2.000000000000000111e-01,2.000000000000000111e-01,1.300000000000000044e+00,2.000000000000000111e-01,2.200000000000000178e+00,2.999999999999999889e-01,2.000000000000000111e-01,0.000000000000000000e+00,2.000000000000000111e-01
2.000000000000000111e-01,1.399999999999999911e+00,4.000000000000000222e-01,2.000000000000000111e-01,2.000000000000000111e-01,1.500000000000000000e+00,2.000000000000000111e-01,2.200000000000000178e+00,2.999999999999999889e-01,1.000000000000000056e-01,0.000000000000000000e+00,2.000000000000000111e-01
2.000000000000000111e-01,1.500000000000000000e+00,4.000000000000000222e-01,2.000000000000000111e-01,2.000000000000000111e-01,1.600000000000000089e+00,2.000000000000000111e-01,2.200000000000000178e+00,4.000000000000000222e-01,1.000000000000000056e-01,0.000000000000000000e+00,2.000000000000000111e-01
2.000000000000000111e-01,1.399999999999999911e+00,4.000000000000000222e-01,2.000000000000000111e-01,2.000000000000000111e-01,1.600000000000000089e+00,2.000000000000000111e-01,2.100000000000000089e+00,4.000000000000000222e-01,1.000000000000000056e-01,0.000000000000000000e+00,2.000000000000000111e-01
1.000000000000000056e-01,1.199999999999999956e+00,4.000000000000000222e-01,2.999999999999999889e-01,2.000000000000000111e-01,1.800000000000000044e+00,2.000000000000000111e-01,2.100000000000000089e+00,4.000000000000000222e-01,1.000000000000000056e-01,0.000000000000000000e+00,2.000000000000000111e-01
1.000000000000000056e-01,1.100000000000000089e+00,4.000000000000000222e-01,2.999999999999999889e-01,2.000000000000000111e-01,1.800000000000000044e+00,2.000000000000000111e-01,2.100000000000000089e+00,4.000000000000000222e-01,1.000000000000000056e-01,0.000000000000000000e+00,2.000000000000000111e-01
1.000000000000000056e-01,1.100000000000000089e+00,4.000000000000000222e-01,2.999999999999999889e-01,2.000000000000000111e-01,1.600000000000000089e+00,2.000000000000000111e-01,1.899999999999999911e+00,4.000000000000000222e-01,1.000000000000000056e-01,0.000000000000000000e+00,1.000000000000000056e-01
2.000000000000000111e-01,1.100000000000000089e+00,4.000000000000000222e-01,2.000000000000000111e-01,2.000000000000000111e-01,1.600000000000000089e+00,1.000000000000000056e-01,1.899999999999999911e+00,5.999999999999999778e-01,1.000000000000000056e-01,0.000000000000000000e+00,1.000000000000000056e-01
1.000000000000000056e-01,1.100000000000000089e+00,4.000000000000000222e-01,2.000000000000000111e-01,2.000000000000000111e-01,1.500000000000000000e+00,1.000000000000000056e-01,1.699999999999999956e+00,1.699999999999999956e+00,1.000000000000000056e-01,0.000000000000000000e+00,1.000000000000000056e-01
1.000000000000000056e-01,1.000000000000000000e+00,4.000000000000000222e-01,2.000000000000000111e-01,2.000000000000000111e-01,1.500000000000000000e+00,1.000000000000000056e-01,1.600000000000000089e+00,1.300000000000000044e+00,1.000000000000000056e-01,0.000000000000000000e+00,2.000000000000000111e-01
2.000000000000000111e-01,1.000000000000000000e+00,4.000000000000000222e-01,2.000000000000000111e-01,2.000000000000000111e-01,1.600000000000000089e+00,1.000000000000000056e-01,1.399999999999999911e+00,1.000000000000000000e+00,1.000000000000000056e-01,0.000000000000000000e+00,2.000000000000000111e-01
2.000000000000000111e-01,9.000000000000000222e-01,4.000000000000000222e-01,2.000000000000000111e-01,2.000000000000000111e-01,1.600000000000000089e+00,1.000000000000000056e-01,1.699999999999999956e+00,8.000000000000000444e-01,1.000000000000000056e-01,0.000000000000000000e+00,2.000000000000000111e-01
2.000000000000000111e-01,9.000000000000000222e-01,4.000000000000000222e-01,2.000000000000000111e-01,2.000000000000000111e-01,1.600000000000000089e+00,1.000000000000000056e-01,2.399999999999999911e+00,6.999999999999999556e-01,1.000000000000000056e-01,0.000000000000000000e+00,2.000000000000000111e-01
2.000000000000000111e-01,6.999999999999999556e-01,4.000000000000000222e-01,2.000000000000000111e-01,2.000000000000000111e-01,1.600000000000000089e+00,1.000000000000000056e-01,2.399999999999999911e+00,5.999999999999999778e-01,1.000000000000000056e-01,0.000000000000000000e+00,1.000000000000000056e-01
2.000000000000000111e-01,6.999999999999999556e-01,4.000000000000000222e-01,2.000000000000000111e-01,2.000000000000000111e-01,1.600000000000000089e+00,1.000000000000000056e-01,2.200000000000000178e+00,6.999999999999999556e-01,1.000000000000000056e-01,0.000000000000000000e+00,1.000000000000000056e-01
2.000000000000000111e-01,8.000000000000000444e-01,4.000000000000000222e-01,2.000000000000000111e-01,2.000000000000000111e-01,1.500000000000000000e+00,1.000000000000000056e-01,2.200000000000000178e+00,6.999999999999999556e-01,1.000000000000000056e-01,0.000000000000000000e+00,2.000000000000000111e-01
2.000000000000000111e-01,1.100000000000000089e+00,5.000000000000000000e-01,2.000000000000000111e-01,2.000000000000000111e-01,1.500000000000000000e+00,1.000000000000000056e-01,2.200000000000000178e+00,6.999999999999999556e-01,1.000000000000000056e-01,0.000000000000000000e+00,2.000000000000000111e-01
2.000000000000000111e-01,1.100000000000000089e+00,5.000000000000000000e-01,2.999999999999999889e-01,2.000000000000000111e-01,1.500000000000000000e+00,1.000000000000000056e-01,2.200000000000000178e+00,6.999999999999999556e-01,1.000000000000000056e-01,0.000000000000000000e+00,2.000000000000000111e-01
2.000000000000000111e-01,1.100000000000000089e+00,4.000000000000000222e-01,2.999999999999999889e-01,2.000000000000000111e-01,1.500000000000000000e+00,1.000000000000000056e-01,1.899999999999999911e+00,6.999999999999999556e-01,1.000000000000000056e-01,0.000000000000000000e+00,2.000000000000000111e-01
2.000000000000000111e-01,9.000000000000000222e-01,5.000000000000000000e-01,2.999999999999999889e-01,2.000000000000000111e-01,1.600000000000000089e+00,1.000000000000000056e-01,1.699999999999999956e+00,6.999999999999999556e-01,1.000000000000000056e-01,0.000000000000000000e+00,2.000000000000000111e-01
nan,9.000000000000000222e-01,nan,nan,nan,1.600000000000000089e+00,nan,nan,nan,1.000000000000000056e-01,nan,nan
